source,optional,offerId,templateId,name,loyalty,globalStock,stock,buyLimit,route,questGate,costRub,productValueRub,costValueRatio,pricedNodes,flags
Admiral core,false,07efd6dee267ec18ed830dd6,5a608bf24f39f98ffc77720e,7.62x51мм M62 Tracer,1,finite,60,60,cash+quest,7564e60e4c1c2f1b67a594a4,550,440,1.250,1/1,
Admiral core,false,210b1e0eb2d100d2cdf8a6a6,590a358486f77429692b2790,Аккумуляторная батарея,1,finite,4,2,cash+quest,6d9fda8875aed2082b4da528,18500,17035,1.086,1/1,
Admiral core,false,32bdf9f1175fe841d44c87da,5d5e9c74a4b9364855191c40,"Шлем MSA ""ACH TC-2002 MICH Series"" (Олива)",1,finite,4,1,cash,,28000,49251,0.569,3/3,
Admiral core,false,3500e7b76f097a98ced5d61b,5ede475339ee016e8c534742,Выстрел 40x46мм M576 (MP-APERS),1,finite,2,2,cash+quest,f1368cb3b69c3a4917c4f206,12450,256,48.633,1/1,very-expensive
Admiral core,false,3e6f816c41a9c73328116881,619cbf7d23893217ec30b689,Кейс для инъекторов,1,finite,1,1,barter+quest,bcf61611e9723c765e07a740,211663,415000,0.510,1/1,
Admiral core,false,41f4fcb92e6eda0e2dc4fbfe,5e21a3c67e40bd02257a008a,"Магазин Magpul ""PMAG 30 GEN M3"" на 30 патронов 7.62x39 для АК (Банановый)",1,finite,8,2,cash,,9000,5183,1.736,1/1,
Admiral core,false,576766464a96c193b6f654b1,5a7882dcc5856700177af662,Затычка магазина на 4 патрона 12к для M870,1,finite,10,2,cash,,1800,1030,1.748,1/1,
Admiral core,false,67d5501fb925a7836b99f112,5efb0cabfb3e451d70735af5,.45 ACP AP,1,finite,80,80,cash+quest,43d9544a09d068476a1a18df,850,670,1.269,1/1,
Admiral core,false,6cf0fc22a55417075c5af23e,5cc80f53e4a949000e1ea4f8,5.7x28мм L191,1,finite,80,80,cash+quest,8cba3e2ec639a4aa2c26c4da,400,310,1.290,1/1,
Admiral core,false,731e65964d324bc545a1b839,5fc382c1016cce60e8341b20,.338 Lapua Magnum УПЗ,1,finite,40,40,cash+quest,cd2641c70bede98dac3945d0,1050,830,1.265,1/1,
Admiral core,false,8d265ce56e28f5aafa0f34a2,56deee15d2720bee328b4567,Заглушка магазина на 4 патрона 12к для MP-153,1,finite,10,2,cash,,1500,500,3.000,1/1,
Admiral core,false,ad1000000000000000000001,5c94bbff86f7747ee735c08f,Ключ-карта доступа в TerraGroup Labs,1,finite,1,1,barter+quest,68a6527a3c73b2e85977d7a1,510760,100000,5.108,1/1,very-expensive
